"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6180","Login to Zen Portal with Multiple credentials -- @1.1 ","","Wed Jul 30 18:51:42 IST 2025","broken","Wed Jul 30 18:51:48 IST 2025","","","",""
"","13650","Login to Zen Portal with Multiple credentials -- @1.2 ","","Wed Jul 30 18:51:48 IST 2025","failed","Wed Jul 30 18:52:02 IST 2025","","","",""
